date;title;URL;text
2021-02-06;A candle on the coronavirus cake;https://www.swissinfo.ch/eng/a-candle-on-the-coronavirus-cake/46348672;From January 2020 until today, the world has been in the grips of to a tiny organism, invisible to the naked eye. Raise your hand if you could imagine a year ago how much our lives would change. About a year ago, on January 20, the World Health Organisation (WHO) declared the new coronavirus to be “a public health emergency of international concern”External link. At the time, there were less than ten thousand cases worldwide and no deaths outside China. A year later, we are still in the midst of a global pandemic that has taken the lives of more than two million people and infected more than 100 million. The figures certainly do not compare with the terrible Spanish fluExternal link of the early 20th century, which has been dug up over the past year from the dusty drawers of history to remind us that history often repeats itself. At the beginning of the health emergency, well after 30 January, many politicians and experts had underestimated SARS-CoV-2, branding it as a “simple” flu or even a “measly cold”External link . The thinly veiled message was that there was nothing to worry about. Can “a flu” send the world into a tailspin in the 21st century? A year ago it was not thought possible. Now the answer would be a clear “yes”. My colleague Marc-André MiserezExternal link looked back on his experience as a journalist in the midst of a health crisis, recalling how the initial certainties of a year ago have crumbled in the face of the reality of the galloping epidemic. Here’s Marc-André, and the questions I put to him about this moment of self-reflection. Is the world right to be afraid of the Wuhan coronavirus? . By asking the question in early February 2020 - without even saying so - I was sure I had the answer. Arrogance! I should have remembered that you can never be sure of anything.  Marc André, as a journalist, how did you experience those first weeks of February, when the fear of the virus was beginning to mount? At the time, no cases had yet been registered in Switzerland - the first one will be declared on 25 February - but there were already concerns. In medical circles, as well as in newsrooms. At swissinfo.ch we were in the midst of the debate. Convey fears to readers? Or rather reassure? Should we wait and see what happens? We are journalists. Our duty is to inform. With a certain bravado, I volunteered to see if I could write something about it. What did you do then? I contacted an epidemiologist, who told me honestly what he knew. Which is to say, not much. The new virus was easily transmitted, but its mortality rate was estimated at around 4% - today it's more like 2%. According to the WHO, the mortality rate was 9.5% for SARS in 2003/2004 and 34% for MERS in 2012. Both of these global coronavirus epidemics caused the death of less than a thousand people each. That is between 300 and 600 times less than influenza, which returns every year. And these figures reassured you... Yes, the comparison was reassuring. All the more so because the mortality rate is always lower than the statistics suggest, because there are usually far fewer declared cases than actual ones... But I should have remembered that the comparison is misleading. So you changed your mind? Of course, today there is no doubt. Covid-19 is indeed a global scourge. And the comparison with the 50-100 million victims of the so-called Spanish flu of 1918-20 does not work: in a century, health systems have made significant progress globally. Moreover, never before has a virus caused so much damage to the economy and society, depriving millions of people of their livelihood, or even reason to live, as only wars can do. To err is human, to persevere is diabolical. If you could go back, what would you say to your readers then and, perhaps, now? I would tell them that yes, the world was right to fear the Wuhan coronavirus! And to the 140,000 or so people who read my article a year ago, I owe a humble apology: I was very wrong. Personally, I don't remember taking a clear position at the beginning of the epidemic. As an Italian transplanted abroad (I was living in Paris at the time), I was in a sort of limbo, between the paradox of the rapidly worsening Italian situation and the placid French indifference. In Paris, people began to realise very late that the situation was getting serious. By a strange coincidence, the days were mild and sunny in the City of Light and no one wanted to miss the opportunity for a picnic in Les Tuileries or a coup on the terrace of some café. Of course, there were those who knew best and predicted the impending catastropheExternal link. The head of Moderna, Stéphane Bancel, had already realised in January that the virus was starting to travel everywhere. On 24 February, Moderna sent the first clinical samples of its vaccine to the US Department of Health. And you? How did you experience the beginning of the pandemic? If you were to go back, would you do or laugh at the same things? Let's talk about it! Write meExternal link your comments. The virus wastes no time While the world agreed on the seriousness of the situation and the measures to be taken, the virus wasted no time. From one contagion to the next, it was modifying small parts of its genetic code to continue reproducing and infecting new (or even old) victims. Genomic epidemiologist Emma Hodcroft, who works at the Institute of Social and Preventive Medicine in Bern, has been following the evolution of SARS-CoV-2, and tells us in an interview how the virus has mutated and become more and more contagious: from a scientific point of view, the evolution of the virus is completely normal. But every time the virus replicates, there is a chance that an error will occur, and that this will generate a mutation. The longer we play this game, with a high number of cases and a high concentration of the virus in circulation, the greater the chance that the next mutation will be one we don't want to see. That's why, according to Emma Hodcroft, it's very important to keep infections low and not give the virus space. British epidemiologist Adam Kucharski also confirmed in an article in the Financial TimesExternal link that an accumulation of mutations has the potential to dramatically change the face of the pandemic and the threat it faces. For the worse. Vaccine race and digitisation Vaccines could be a real game-changer in curbing the virus, but the vaccination campaign is proceeding slowly in Switzerland, due to delays in delivering doses. But this is not the case for everyone. Israel, similar to Switzerland in terms of population, is the first countryExternal link in terms of the number of vaccines administered per capita. Why? One of the determining factors is certainly the efficiency of its digitised healthcare systemExternal link. In Switzerland, however, the digitisation of healthcare is far from being a reality. And this could cost the population dearly. I will talk about this in a forthcoming article, which you’ll find on swissinfo.ch. Stay tuned! Do you have an opinion? Let's talk about itExternal link over a (virtual) coffee.
2021-02-05;Alpine resorts offer mass Covid tests to stem new outbreaks ;https://www.swissinfo.ch/eng/alpine-resorts-offer-mass-covid-tests-to-stem-new-outbreaks-/46347842;The western Swiss canton of Vaud has become the latest to launch mass Covid-19 testing, with a pilot scheme in its three biggest ski resorts.  Starting on Friday, the canton is offering free, voluntary testing in the run-up to a week of school holidays starting February 20. The campaign kicks off in the resort of Villars-sur-Ollon (which by 4PM had done almost 400 tests, four of which were positive), and will then come to Les Diablerets and Leysin.  Tests are being offered to anyone over 12 years of age, including non-residents.  The aim is to “save the end of the ski season”, according to Vaud authorities, and to avoid coronavirus clusters as happened in Verbier in December. Verbier is in neighbouring canton Valais, which is expected to follow suit with testing.   Switzerland has kept its ski resorts open despite the pandemic and despite this causing tension with some neighbouring countries.  Ski resorts have been targeted because “they are going to see a lot of mixing of people in the next few weeks”, Vaud government leader Nuria Gorrite told public broadcaster RTS on Thursday. “We want to avoid the virus being transported from one place to another. What the resorts need least is to become national clusters!”  Other regions and ski resorts have already introduced similar measures. These include the southeastern canton of Graubunden and the resort of Wengen in canton Bern, where the iconic Lauberhorn ski race had to be cancelledExternal link because of coronavirus fears.    
2021-02-05;Swiss to boost ‘laptop’ diplomat network;https://www.swissinfo.ch/eng/swiss-to-boost--laptop--diplomat-network/46347752;Switzerland is to send more diplomatic staff abroad after the coronavirus pandemic highlighted the need for more personnel on the ground, Swiss public television SRF reported. The first year of the pandemic has shown that there were too few staff in some representations abroad, the Federal Council (Swiss government) said in its report on foreign policy for 2020, which it approved earlier this weekExternal link. Currently the country has around 170 embassies, consulates and representations around the world. “The plan is to redeploy 35 people from the Federal Department of Foreign Affairs (FDFA) central office [in the Swiss capital Bern] to the network abroad over the next four years,” the FDFA told SRFExternal link on Friday. The Swiss diplomatic network was highly useful during the corona pandemic, added the FDFA, helping to bring more than 7,000 people back to Switzerland last year, in the largest repatriation operation in Switzerland’s history. The network also ensured that Swiss aid reached countries hard hit by the pandemic, the FDFA said.   Smaller representations – often made up of one ambassador with a few local employees and known as “laptop embassies” – are expected to benefit the most from staff redeployment. “They must be able to remain operational, even if a crisis like the current pandemic persists,” the FDFA wrote. The move marks a turnaround, SRF said, as it comes after a period of cost-cutting that has left some Swiss representations abroad “reduced to the minimum”. This brought criticism in 2019 from the country’s Federal Audit Office, which said it left smaller embassies “without a clear profile”. The Federal Audit Office at the time recommended a review of the portfolio of embassies.
2021-02-05;Pandemic brings more threats against Swiss politicians  ;https://www.swissinfo.ch/eng/pandemic-brings-more-threats-against-swiss-politicians--/46347474;Hate speech and insults are on the rise in Switzerland, especially towards politicians, reports national broadcaster RTS.  The federal police received more than 1,200 reports of threats or insults against government members and federal parliamentarians last year, compared with only 250 in 2019. The majority of the threats were made on social media networks.  “The coronavirus situation is hard for everyone and there is a tendency for people to express that dissatisfaction,” federal police spokeswoman Cathy Maret told RTS on Thursday evening.   Federal police are taking new steps to try to counter this trend, including sending warning letters. “The aim of these letters is to calm things down,” said Maret. “People go online and the atmosphere is aggressive. They get het up and sometimes forget they are in a public space. If they get a warning letter, that often calms them down.”  A survey conducted for RTS in 2019, before the pandemic, found that almost 60% of Swiss politicians receive threats on a regular basis and over three-quarters are routinely insulted, with female politicians at greatest risk.  
2021-02-05;‘The virus is always evolving’;https://www.swissinfo.ch/eng/coronavirus_-the-virus-is-always-evolving-/46341598;"Should we be afraid of virus variants? Will vaccines be effective against these new virus forms? Emma Hodcroft, a genomic epidemiologist at the Institute of Social and Preventive Medicine in Bern, discusses mutations and how vaccines are developed. Covid-19 variants worry scientists and governments – with good reason. According to British-American epidemiologist Emma Hodcroft, it is essential to keep infections low and contain the spread of variants. Though mutations are a normal part of virus life, in rare cases, they can generate much more dangerous variants. SWI swissinfo.ch: What do we know about these mutations? Emma Hodcroft: There are three main variants that are attracting scientists' attention at the moment. A fourth variant is making headlines, but scientists don't know how much of a concern it is yet. The variants are mainly found in the United Kingdom and South Africa, and two others have appeared in Brazil. The one circulating in Britain is the first one that was discovered. From the data we have, it is spreading locally in most European countries. This variant is causing concern because it is more contagious and therefore more difficult to manage than, for example, the SARS-CoV-2 variants that were circulating this summer. Although there is no clear indication that it is more dangerous or lethal, the more people that get infected and get sick, the more the stress this is adding to the health care system. This is what we are seeing in the UK. We have less information on the other variants. The variant in South Africa shares a common mutation with the UK one. It has an additional mutation that is of particular concern to scientists. The two variants circulating in Brazil also have this mutation. According to some studies, this variant is transmitted much faster, but we still do not have enough data to be certain. What is really alarming is that the additional mutation could make the virus capable of re-infecting people who have already contracted SARS-CoV-2. And this of course could also affect the effectiveness of vaccines. The good news is that that recent data released by Moderna suggests that the vaccine response to these mutations is still good enough to work. SWI: Does this mean that mutations could affect the vaccines? EH: Even if vaccines become less effective, it is unlikely that they would stop working altogether. The issue is that efficacy could drop from 95% to 85-90%. Experience with other pathogens has shown that the immune response you get from vaccines is better than the naturally generated response. Vaccines are better at teaching our bodies how to defend themselves. If this is true with SARS-CoV-2, then it could be that this mutation doesn't affect vaccines at all – or only to a small degree. From the recent Moderna data, it seems this is the case.SWI: Do these mutations worry you? EH: From a scientific perspective, the evolution of the virus is completely normal and there is nothing surprising about it. The issue is that every time the virus replicates, there is a chance that an error will occur, and that this will generate a mutation. The longer we play this game, the higher the odds are that the next mutation will be one we don't want to see. We will never be able to rule out such as scenario, or prevent it entirely, unless we wipe the virus off the face of the earth. However, we can certainly reduce the possibility by making sure that the virus has less access to unusual situations or people who don't have good immune systems. That is where the virus finds a favorable playing field. We shouldn't underestimate the lesson we've learned in recent months: even if something is unlikely, it doesn't mean it won't happen. The longer we give the virus space, the more risk we take that the next mutation will be bad news. It's important to remember that the virus is always evolving, and although the vast majority of these mutations are harmless, it's in our best interest to keep the number of cases as low as possible. SWI: In the media these variants are referred to as British or South African. Is this where they came from? How do scientists study the origins of mutations? EH: It is really hard not to use these geographical names because they have entered everyday and media use and it is often the clearest way to identify variants. For our part, we avoid using them as much as possible because they can severely damage the reputation of these countries. In addition, they are not entirely appropriate because it is difficult to know for sure where the mutations originated. What we can say with some degree of certainty is that the variant present in the UK, for example, may not have originated there but grew there. The high number of sequences found and the spread across the UK seem to suggest that it spread there rather than elsewhere in Europe. For Brazil and South Africa, it is more difficult to determine the origin of the mutations. These are not isolated countries like Great Britain, but they border other countries. South Africa does quite well with sequencing, but many of its neighbors are unable to. As such, we do not know if the mutation happened in another southern African state and was then detected in South Africa. The situation is even more complex in South America because Brazil and its neighbours don’t have good sequencing capabilities. SWI: Is it important from a scientific point of view to know the exact origin of a mutation? EH: Yes, it is important to know which environments could favor certain mutations and to act to stop their spread. For example, in an environment where there are many infections, the virus gains an advantage from the mechanism of reinfection. That advantage is minimal where cases are low. From this perspective, it is relevant to understand how different environments can stimulate the production of these variants. SWI: Do you think cases of the so-called British variant could explode in Switzerland as they have in the UK? Are stricter measures necessary? EH: The British variant is already circulating in Switzerland and we should prepare for the fact that the situation could get worse. That's why to stop the trend, it's very important to keep infections down. It is a strategy from which we can only benefit, because if we manage to contain it, then we can stop the spread. On the other hand, if we fail to contain it but still get cases down, we can spare our healthcare system from being overloaded – which means it will be able to respond if the situation gets worse. We don't want to end up with a severely strained system and ambulance queues outside hospitals, as has been the case in the UK. SWI: Has the fight against the virus become a race against time? EH: I wouldn't look at it from that point of view. It's unlikely that we're going to be able to vaccinate the population faster than the variant spreads. Rather, until the whole population can be vaccinated, we need to focus on keeping cases down through social distancing and hygiene. SWI: Are the concerns against the vaccine justified? EH: A lot of concerns have arisen about how quickly these vaccines have been developed. Many have heard that it normally takes five to ten years to get a vaccine on the market. First of all, it’s important to clarify that many of the vaccines approved had already been developed for other viruses, in some cases for other coronaviruses. We are not starting from scratch. Second, what lengthens the time to develop a vaccine is not the science, but the bureaucracy around it. A big part of a scientist's job is finding funding, writing reports, and convincing enough volunteers to enroll in trials of new vaccines. All of this makes the process long and difficult. The coronavirus pandemic has eliminated many of these problems. Governments gave money and provided infrastructure very quickly and an incredible number of people wanted to test the vaccines. Science was not quicker; bureaucracy was. These vaccines were tested even more thoroughly than most because there were so many volunteers. This is a testament to where science can go when there is cooperation among all interest groups. Another concern among the population is the long-term effects. Vaccines stay in the body long enough to teach the immune system how to fight a certain virus, and then they disappear. This is why they have very few side effects and are much less dangerous than the virus in a natural infection, because they are not infectious and therefore do not cause organ damage, as we have seen in the case of the coronavirus. SWI: What lessons does this pandemic teach us for the future? EH: It teaches us that we still know too little about viruses. Much research has focused on influenza viruses and HIV, but the importance of coronaviruses, and other viruses, has been underestimated. There are thousands of viruses out there and we don't know when the next pandemic will come. I hope that what is happening now will help raise awareness of the importance of virus research. "
2021-02-04;Fewer foreigners arrive in Switzerland during pandemic year;https://www.swissinfo.ch/eng/fewer-foreigners-arrive-in-switzerland-during-pandemic-year/46344942;While the overall number of foreigners in the country increased in 2020, the number of new arrivals fell.  The coronavirus crisis has had an impact on annual immigration figures, according to figures released by the State Secretariat for Migration (SEM) on Thursday.  Arrivals who are registered as permanent residents (136,962) decreased by 2.6% compared with 2019. Immigration of temporary residents from abroad (77,539) fell by 23.5%.   While immigration increased in the first quarter of 2020 owing to a good economic outlook, it fell in the second quarter, the SEM said. Protective measures to contain the pandemic was largely to blame. In the third and fourth quarters the lifting of restrictions had a catch-up effect, particularly in terms of student arrivals.  Fewer foreigners left the country despite Switzerland experiencing a relatively high number of coronavirus infections compared with other parts of the world.   A total of 70,270 permanent foreign residents left the Alpine nation last year, 12.1% less than in 2019. An emigration drop of 14.1% was recorded for non-permanent residents, with 55,885 departures.  At the end of 2020 over two million (2,151,854) foreign nationals were resident in Switzerland, an increase of 1.9% compared with 2019. Almost 1.5 million were EU/EFTA and UK nationals and fewer than 700,000 were from third countries. Switzerland has a total population of 8.6 million as of 2019. 
2021-02-04;Teachers’ association wants nationwide Covid testing in Swiss schools;https://www.swissinfo.ch/eng/teachers--association-wants-nationwide-covid-testing-in-swiss-schools/46344770;The Swiss Teachers’ Association is demanding coronavirus tests be extended to schools across the whole of Switzerland. The federal government has rejected the idea, saying cantons have sovereignty regarding education. Cantons Basel Country, Zug and Graubünden have already said they intend to start mass coronavirus testing in schools. “The pandemic affects the whole of Switzerland and schools throughout the country must be closed,” Dagmar Rösler, president of the teachers’ association, told Swiss public radioExternal link, SRF, on Thursday. “Therefore, nationwide mass testing and national coordination would also make sense.” The teachers’ association has been concerned for some time about infections in schools, she said, adding that if classroom teaching were to be maintained, additional preventive and protective measures must be taken. In canton Zug, students and teachers at secondary and baccalaureate schools will have to undergo a saliva test twice a week from February 22. If these large-scale tests are effective, the operation could be extended to vocational schools. Basel Country plans to test 50,000 people every week until July in schools, companies, hospitals and the cantonal administration. The aim is to detect as many people as possible who are infected but who are asymptomatic. So far, only canton Graubünden has conducted large-scale tests. These have been carried out on a voluntary basis, notably in some schools. The canton announced on Thursday that it would extend this programme from March, carrying out saliva tests in schools at a regional level, again on a voluntary basis.
2021-02-04;How are young dancers coping with the video edition of the Prix de Lausanne?;https://www.swissinfo.ch/eng/how-are-young-dancers-coping-with-the-video-edition-of-the-prix-de-lausanne-/46344540;"The 49th edition of the prestigious Prix de Lausanne international ballet competition began last Sunday. But due to the pandemic this year’s event is taking place by video. What are the advantages and disadvantages of such a format? Airi Kobayashi, a 15-year-old from Japan, started to dance when she was six. A huge fan of the French ballet star Sylvie Guillem, her dream is to become a professional ballet dancer. This year Airi was preselected to take part in the Prix de Lausanne for the first time. But the young Japanese dancer will not be travelling to the Swiss lakeside city, like in normal years, to show off her skills; instead she will participate from Tokyo. Due to the coronavirus pandemic, the organisers had to rethink the format of this year's ballet competition and decided to create a special video edition. Selected candidates had to send pre-recorded videos of their performances of classical and contemporary variations at their ballet school or studio. The change of format was decided to protect the dancers from catching the virus. But it also meant that the financial burden of taking part, such as travel and accommodation costs, was much lower, and the videos could be reshot if necessary. Rui Ceser Cruz, an 18-year-old dancer from Brazil, took part in the 2020 ballet competition. This year’s edition is “challenging in a different way”, he said. The dancers can create their own work and ideas, but they do not get the same guidance in Lausanne as in previous years. It is very difficult to perfect an individual choreography and adjust subtle body movements, especially for contemporary dance. Airi, who danced Bow , choreographed by Goyo Montero, was frustrated: There is a part in the piece where I make my fingers look like Avalokitesvara [Buddhist bodhisattva], and I wanted to ask him directly what that meant. The performance is without an audience. You don't even feel the stage space.” In a hotel in Lausanne, nine jury members will spend 100 hours carefully examining the videos submitted by the 78 candidates, starting with the youngest dancers. The judges’ criteria for choosing the best dancers have not changed from previous years. The performances will also be livestreamed. But the atmosphere this year is totally different. In the quiet of the jury room, there is none of usual lively cheering from fellow dancers and their rivals. Despite the difficult coronavirus situation, the Prix de Lausanne still represents a chance for young dancers to show ballet schools and companies the results of their hard work and their dedication to becoming a top dancer. The timing of the competition is a perfect opportunity for young dancers to find a place to study before spring. Kathryn Bradney, the artistic and executive director of the Prix de Lausanne, explained that the format of this year’s competition allows partner ballet schools and companies to “take the time to look at each dancer's video and make a career offer . Richard Wherlock, director and head choreographer of the Basel Ballet and jury president for this year's competition, said that the young dancers may have spent a year not being able to perform, not being able to go to class, and having to dance in restricted areas and not in their dance studio . The Lausanne competition's video format therefore gives dancers who only have short careers a chance to show themselves , he said."
2021-02-04;Charity collects huge donations for Swiss Covid victims;https://www.swissinfo.ch/eng/charity-collects-huge-donations-for-swiss-covid-victims/46343952;The humanitarian charity Swiss Solidarity collected more than CHF43 million ($47.7 million) in donations last year for victims of the coronavirus pandemic in Switzerland. This is the largest amount since the CHF50 million collected after a devastating storm in 2005. The humanitarian arm of the Swiss Broadcasting Corporation, SWI swissinfo.ch’s parent company, together with private media collected a total of CHF64.5 million for aid worldwide, Swiss Solidarity said in a statementExternal link on Thursday. “In 2020, we proved once again that Swiss Solidarity can also help right here at home thanks to the generosity of the people of Switzerland and the support of trustworthy partners and organisations,” said director Roland Thomann. In Switzerland 1.7 million people received support in the form of financial aid, services and food aid. Swiss Solidarity launched its coronavirus support campaign in March, the largest and longest fundraising campaign for the Swiss population since 2005. Swiss Solidarity said it supported 409 projects of its partner relief organisations in 41 countries, including Switzerland, to help people affected by humanitarian crises, conflicts, violence and natural disasters. Two-thirds of the donations went to help people in need in Switzerland. Abroad, one focus of fundraising was Lebanon, following a devastating explosion in a port in Beirut in August. For this, donations were given worth CHF7.5 million. Funds also went to ongoing projects for Rohingya refugees in Bangladesh and to projects in Indonesia following the earthquake and tsunami in 2018. Since 1946 Swiss Solidarity has collected more than CHF1.8 billion in donations.
2021-02-03;WEF forced to postpone Singapore meeting to August;https://www.swissinfo.ch/eng/wef-forced-to-postpone-singapore-meeting-to-august/46342026;The World Economic Forum’s special annual meeting – exceptionally being held in Singapore this year – has been pushed back by three months. The WEF conference will now convene from August 17-20. The coronavirus pandemic forced WEF to relocate its flagship event from the Swiss mountain resort of Davos to the Southeast Asian city state. It will be only the second time in 50 years that it will be staged outside Davos. The 51st annual meeting of business, political and civil society leaders will now take place in Singapore between August 17-20 instead of May 25-28, WEF announced on Wednesday. The meeting follows the success of the forum’s virtual Davos Agenda in January. The WEF said in a statementExternal link that although the forum and the government of Singapore remained confident of the measures in place to ensure a safe and effective meeting, and local transmission of Covid-19 in Singapore remained at negligible levels, “the change to the meeting’s timing reflects the international challenges in containing the pandemic”. Current global travel restrictions had made planning difficult for an in-person meeting in the first half of the year, it added. “Furthermore, differing quarantine and air transport regulations have increased the lead time necessary to ensure that participants globally can make arrangements to join.” “A global leadership summit needs the participation of all global stakeholders,” said Klaus Schwab, WEF founder and executive chairman.
